ymin,lower,middle,upper,ymax,notchupper,notchlower,x,flipped_aes,group,PANEL,ymin_final,ymax_final,xmin,xmax,xid,newx,new_width,weight,colour,fill,size,alpha,shape,linetype
-0.5928571428571426,0.2689999999999997,0.7476470588235296,1.1853687816901406,1.6118067978533093,1.1492119138079038,0.3460822038391552,2000,FALSE,1,1,-0.5928571428571426,14.147196666666666,1999.625,2000.375,1,2000,0.75,1,grey20,white,0.5,NA,19,solid
-0.6285714285714296,0.29157142857142904,0.79,1.2731071197183095,1.631484794275492,1.22012185198018,0.35987814801982004,2001,FALSE,2,1,-0.6285714285714296,14.966085882352939,2000.625,2001.375,2,2001,0.75,1,grey20,white,0.5,NA,19,solid
-0.32173913043478297,0.3202857142857145,0.77,1.3608454577464784,1.6511627906976747,1.2259869681665903,0.31401303183340973,2002,FALSE,3,1,-0.32173913043478297,15.784975098039215,2001.625,2002.375,3,2002,0.75,1,grey20,white,0.5,NA,19,solid
-0.7285714285714284,0.3567142857142862,0.7348039215686275,1.4485837957746477,1.670840787119857,1.2132755044400612,0.2563323386971939,2003,FALSE,4,1,-0.7285714285714284,16.60386431372549,2002.625,2003.375,4,2003,0.75,1,grey20,white,0.5,NA,19,solid
-0.30869565217391326,0.382714285714286,0.6629411764705884,1.5363221338028166,1.6905187835420392,1.1684673112349095,0.1574150417062673,2004,FALSE,5,1,-0.30869565217391326,17.422753529411764,2003.625,2004.375,5,2004,0.75,1,grey20,white,0.5,NA,19,solid
-0.6357142857142846,0.4117142857142857,0.8200000000000001,1.6240604718309855,1.710196779964222,1.351266047192155,0.2887339528078452,2005,FALSE,6,1,-0.6357142857142846,18.241642745098037,2004.625,2005.375,6,2005,0.75,1,grey20,white,0.5,NA,19,solid
-0.2857142857142857,0.44228571428571395,0.7843137254901962,1.6920698760563377,1.7298747763864042,1.3319855861111416,0.23664186486925076,2006,FALSE,7,1,-0.2857142857142857,19.060531960784314,2005.625,2006.375,7,2006,0.75,1,grey20,white,0.5,NA,19,solid
-0.7000000000000012,0.46699999999999986,0.7843137254901962,1.749552772808587,1.76007928028169,1.3463452225396428,0.22228222844074952,2007,FALSE,8,1,-0.7000000000000012,19.879421176470586,2006.625,2007.375,8,2007,0.75,1,grey20,white,0.5,NA,19,solid
-0.2928571428571438,0.49700000000000033,0.7843137254901962,1.7692307692307692,1.8280886845070419,1.341821984785701,0.22680546619469155,2008,FALSE,9,1,-0.2928571428571438,20.698310392156863,2007.625,2008.375,9,2008,0.75,1,grey20,white,0.5,NA,19,solid
-0.5714285714285705,0.5184285714285717,0.7843137254901962,1.7889087656529519,1.8960980887323942,1.3410548597890557,0.22757259119133677,2009,FALSE,10,1,-0.5714285714285705,21.517199607843136,2008.625,2009.375,10,2009,0.75,1,grey20,white,0.5,NA,19,solid
-0.6928571428571415,0.5509999999999999,0.7843137254901962,1.8085867620751341,1.964107492957746,1.335404788207925,0.2332226627724674,2010,FALSE,11,1,-0.6928571428571415,22.336088823529412,2009.625,2010.375,11,2010,0.75,1,grey20,white,0.5,NA,19,solid
-0.6714285714285693,0.5773324984345647,0.7843137254901962,1.8282647584973168,2.0278288563380276,1.3324886978860058,0.2361387530943866,2011,FALSE,12,1,-0.6714285714285693,23.15497803921569,2010.625,2011.375,12,2011,0.75,1,grey20,white,0.5,NA,19,solid
-0.6714285714285693,0.579837194740138,0.7843137254901962,1.847942754919499,2.0915502197183096,1.3400142639121748,0.22861318706821754,2012,FALSE,13,1,-0.6714285714285693,23.97386725490196,2011.625,2012.375,13,2012,0.75,1,grey20,white,0.5,NA,19,solid
-0.2857142857142857,0.5829680651221036,0.7843137254901962,1.8676207513416818,2.155271583098591,1.3472654322207376,0.22136201875965467,2013,FALSE,14,1,-0.2857142857142857,24.792756470588234,2012.625,2013.375,14,2013,0.75,1,grey20,white,0.5,NA,19,solid
-0.678571428571429,0.5854727614276769,0.7843137254901962,1.887298747763864,2.218992946478873,1.3547909982469069,0.21383645273348562,2014,FALSE,15,1,-0.678571428571429,25.61164568627451,2013.625,2014.375,15,2014,0.75,1,grey20,white,0.5,NA,19,solid
-0.6714285714285693,0.5879774577332497,0.7843137254901962,1.9069767441860468,2.2827143098591547,1.3623165642730761,0.20631088670731623,2015,FALSE,16,1,-0.6714285714285693,26.430534901960787,2014.625,2015.375,16,2015,0.75,1,grey20,white,0.5,NA,19,solid
-0.2857142857142857,0.5911083281152161,0.7843137254901962,1.926654740608229,2.3670291338028164,1.3695677325816384,0.1990597183987538,2016,FALSE,17,1,-0.2857142857142857,27.24942411764706,2015.625,2016.375,17,2016,0.75,1,grey20,white,0.5,NA,19,solid
-0.5499999999999983,0.5942391984971824,0.7857142857142858,1.9463327370304113,2.4513439577464786,1.3782194611142904,0.19320911031428112,2017,FALSE,18,1,-0.5499999999999983,28.068313333333332,2016.625,2017.375,18,2017,0.75,1,grey20,white,0.5,NA,19,solid
-0.7357142857142858,0.5967438948027552,0.8198571428571426,1.9660107334525945,2.5356587816901404,1.419887884283317,0.2198264014309682,2018,FALSE,19,1,-0.7357142857142858,28.887202549019605,2017.625,2018.375,19,2018,0.75,1,grey20,white,0.5,NA,19,solid
-0.2857142857142857,0.5998747651847214,0.8550000000000004,2.011925086129032,2.6199736056338025,1.473779026185089,0.23622097381491192,2019,FALSE,20,1,-0.2857142857142857,29.706091764705878,2018.625,2019.375,20,2019,0.75,1,grey20,white,0.5,NA,19,solid
